Algorithm,Min_Support,Execution_Time_s,Peak_Memory_MB,Frequent_Itemsets
Apriori,0.05,7.541392803192139,0.035686492919921875,14
Eclat,0.05,1.9886231422424316,95.55421829223633,14
Apriori,0.03,8.355928421020508,0.021961212158203125,22
Eclat,0.03,2.065378189086914,108.18110656738281,22
Apriori,0.02,15.12197470664978,0.029750823974609375,32
Eclat,0.02,3.500662326812744,108.68136596679688,32
Apriori,0.01,15.616943597793579,0.044406890869140625,74
Eclat,0.01,2.157527446746826,111.80870056152344,74
